City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Victoria,HK,22.2855,114.1577,75.96,37,25,8.99,scattered clouds
79,Yellowknife,CA,62.456,-114.3525,3.72,60,100,9.22,light snow
80,Talcahuano,CL,-36.7167,-73.1167,51.48,87,0,6.91,clear sky
81,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.37,99,59,1.74,broken clouds
82,Muros,ES,42.7762,-9.0603,42.1,78,2,11.32,clear sky
83,Avera,US,33.194,-82.5271,51.31,67,0,6.02,clear sky
84,Lakes Entrance,AU,-37.8811,147.981,60.17,96,100,16.53,heavy intensity rain
85,Namibe,AO,-15.1961,12.1522,70.65,87,100,6.24,overcast clouds
86,Nikolskoye,RU,59.7035,30.7861,27.88,84,5,3.33,clear sky
87,Obihiro,JP,42.9172,143.2044,49.82,45,2,10.04,clear sky
88,Sitka,US,57.0531,-135.33,39.09,70,75,16.11,broken clouds
89,Itoman,JP,26.1247,127.6694,64.78,92,75,12.66,light rain
90,Khatanga,RU,71.9667,102.5,-0.65,92,100,8.7,overcast clouds
91,Kodiak,US,57.79,-152.4072,35.11,80,0,3.44,clear sky
92,Port Macquarie,AU,-31.4333,152.9167,75.18,56,99,6.91,overcast clouds
93,Arkhara,RU,49.4212,130.0842,47.66,72,56,7.09,broken clouds
94,Schladming,AT,47.3929,13.687,24.53,100,100,5.26,overcast clouds
95,Mongu,ZM,-15.2484,23.1274,65.71,85,55,5.14,broken clouds
96,Yulara,AU,-25.2406,130.9889,84.04,15,0,5.75,clear sky
97,Tual,ID,-5.6667,132.75,82.54,62,41,1.77,scattered clouds
98,Chernyshevskiy,RU,63.0128,112.4714,16.57,86,97,8.34,overcast clouds
99,New Norfolk,AU,-42.7826,147.0587,62.92,57,48,4.12,light rain
100,Souillac,MU,-20.5167,57.5167,79.18,83,75,11.5,light rain
101,Bilibino,RU,68.0546,166.4372,16.66,83,100,1.79,overcast clouds
102,Nelson Bay,AU,-32.7167,152.15,76.08,58,100,13.04,overcast clouds
103,Adrar,MR,20.5022,-10.0711,71.06,15,2,10.42,clear sky
104,Chuy,UY,-33.6971,-53.4616,62.67,85,0,9.44,clear sky
105,Salalah,OM,17.0151,54.0924,87.89,35,0,0.0,clear sky
106,Hasaki,JP,35.7333,140.8333,57.29,56,100,15.64,overcast clouds
107,Jalu,LY,29.0331,21.5482,69.82,22,81,9.35,broken clouds
108,Warmbad,NA,-28.45,18.7333,60.53,55,40,5.26,scattered clouds
109,Helong,CN,42.5397,128.9972,57.27,23,5,7.09,clear sky
110,Luderitz,NA,-26.6481,15.1594,56.75,86,1,7.7,clear sky
111,Ossora,RU,59.2353,163.0719,27.97,87,100,8.59,overcast clouds
112,Dikson,RU,73.5069,80.5464,5.29,92,23,8.34,few clouds
113,Vanimo,PG,-2.6741,141.3028,84.38,71,98,5.88,overcast clouds
114,Brigantine,US,39.4101,-74.3646,45.05,83,0,9.22,clear sky
